C45	NGC5248
C46	NGC2261
C47	NGC6934
C48	NGC2775
C49	NGC2237
C50	NGC2244
C51	IC1613
C52	NGC4697
C53	NGC3115
C54	NGC2506
C55	NGC7009
C56	NGC246
C57	NGC6822
C58	NGC2360
C59	NGC3242
C60	NGC4038
C61	NGC4039
C62	NGC247
C63	NGC7293
C64	NGC2362
C65	NGC253
C66	NGC5694
C67	NGC1097
C68	NGC6729
C69	NGC6302
C70	NGC300
C71	NGC2477
C72	NGC55
C73	NGC1851
C74	NGC3132
C75	NGC6124
C76	NGC6231
C77	NGC5128
C78	NGC6541
C79	NGC3201
C80	NGC5139
C81	NGC6352
C82	NGC6193
C83	NGC4945
C84	NGC5286
C85	IC2391
C86	NGC6397
C87	NGC1261
C88	NGC5823
C89	NGC6087
C90	NGC2867
C91	NGC3532
C92	NGC3372
C93	NGC6752
C94	NGC4755
C95	NGC6025
C96	NGC2516
C97	NGC3766
C98	NGC4609
C99	IC8130
C100	IC2944
C101	NGC6744
C102	IC2602
C103	NGC2070
C104	NGC362
C105	NGC4833
C106	NGC104
C107	NGC6101
C108	NGC4372
C109	NGC3195
Cr15	IC8000
Cr463	IC8001
Cr21	IC8002
Cr26	IC8003
Cr29	IC8004
Cr36	IC8005
Mel20	IC8006
Mel25	IC8007
Mel31	IC8008
Cr464	IC8009
Cr62	IC8010
Cr65	IC8011
Cr69	IC8012
Cr70	IC8013
Cr74	IC8014
Cr80	IC8015
Cr89	IC8016
Cr91	IC8017
Cr92	IC8018
Cr96	IC8019
Cr95	IC8020
Cr97	IC8021
Cr104	IC8022
Cr106	IC8023
Cr105	IC8024
Cr107	IC8025
Cr110	IC8026
Cr111	IC8027
Cr115	IC8028
Cr121	IC8029
Cr465	IC8030
Cr466	IC8031
Cr132	IC8032
Cr135	IC8033
Cr140	IC8034
Cr145	IC8035
Mel66	IC8036
Cr146	IC8037
Mel71	IC8038
Mel72	IC8039
Cr467	IC8040
Cr167	IC8041
Cr168	IC8042
Cr173	IC8043
Cr185	IC8044
Cr187	IC8045
Cr197	IC8046
Cr196	IC8047
Cr198	IC8048
Cr202	IC8049
Cr203	IC8050
Cr205	IC8051
Cr213	IC8052
Cr216	IC8053
Cr217	IC8054
Cr219	IC8055
Cr220	IC8056
Cr223	IC8057
Cr228	IC8058
Mel101	IC8059
Cr230	IC8060
Cr231	IC8061
Cr232	IC8062
Cr233	IC8063
Cr234	IC8064
Cr235	IC8065
Cr236	IC8066
Cr240	IC8067
Cr241	IC8068
Cr243	IC8069
Mel105	IC8070
Cr249	IC8071
Cr285	IC8072
Cr257	IC8073
Mel111	IC8074
Cr258	IC8075
Cr261	IC8076
Cr262	IC8077
Cr268	IC8078
Cr269	IC8079
Cr271	IC8080
Cr272	IC8081
Cr274	IC8082
Cr275	IC8083
Cr277	IC8084
Cr283	IC8085
Cr292	IC8086
Cr295	IC8087
Cr299	IC8088
Cr302	IC8089
Cr307	IC8090
Cr316	IC8091
Cr318	IC8092
Cr329	IC8093
Cr331	IC8094
Cr332	IC8095
Cr333	IC8096
Cr336	IC8097
Cr337	IC8098
Cr338	IC8099
Cr343	IC8100
Cr345	IC8101
Cr347	IC8102
Cr350	IC8103
Cr351	IC8104
Cr355	IC8105
Cr357	IC8106
Mel186	IC8107
Cr468	IC8108
Cr367	IC8109
Cr469	IC8110
Cr372	IC8111
Cr378	IC8112
Cr387	IC8113
Cr388	IC8114
Cr394	IC8115
Cr399	IC8116
Cr401	IC8117
Cr408	IC8118
Mel227	IC8119
Cr419	IC8120
Cr421	IC8121
Cr427	IC8122
Cr428	IC8123
Cr471	IC8124
Cr458	IC8125
B-WZCas	IC9000
C-SUAnd	IC9001
D-SAO109003	IC9002
C-STCas	IC9003
S-VXAnd	IC9004
D-NQCas	IC9005
S-AQAnd	IC9006
D-SAO74353	IC9007
C-WCas	IC9008
B-ZPsc	IC9009
S-RScl	IC9010
C-WWCas	IC9011
C-VAri	IC9012
SS-RFor	IC9013
D-SAO129989	IC9014
DYPer	IC9015
UYAnd	IC9016
C-V623Cas	IC9017
B-YPer	IC9018
S-V466Per	IC9019
S-UCam	IC9020
A-ACPer	IC9021
C-UVCam	IC9022
D-XXCam	IC9023
C-TCae	IC9024
A-STCam	IC9025
B-TTTau	IC9026
B-V346Aur	IC9027
SS-RLep	IC9028
A-ELAur	IC9029
A-WOri	IC9030
A-TXAur	IC9031
B-SYEri	IC9032
D-UVAur	IC9033
D-SAur	IC9034
B-RTOri	IC9035
C-SZLep	IC9036
C-SCam	IC9037
B-TUTau	IC9038
